CANDIDATE_ID,Job_Title
7990324,receptionist
7990324,secretary
7990324,office manager
7974050,secretary
7974050,accountant
7965670,barista
7965670,waitress
7965670,kitchen assistant
7965670,babysitter
7965670,cashier
7965670,chef
7965670,secretary
7960501,chef
7960501,bartender
7960501,waiter
7960052,babysitter
7960052,social worker
7960052,administrative assistant
7960052,tutor
7958516,sales manager
7958516,hairdresser
7941036,cashier
7941036,flight attendant
7941036,sales assistant
7931173,tutor
7929149,product manager
7927945,photographer
7927945,waitress
7927945,sales assistant
7927173,project manager
7926185,tailor
7926185,travel agent
7914580,business consultant
7857576,
7841517,screen printer
7841517,warehouse worker
7841517,steward
7841517,medium
7831338,
7815605,pharmacist
7798370,kitchen assistant
7798370,babysitter
7798370,cook
7781023,receptionist
7781023,medium
7781023,plasterer
7767900,animator
7767900,secretary
7767900,philosopher
7766557,secretary
7747553,barista
7747553,chef
7747553,escort
7743333,project manager
7743333,office manager
7743333,product manager
7741510,chef
7741510,waiter
7738327,
7734475,marketing manager
7734475,writer
7724803,
7719017,baker
7707297,hairdresser
7707009,
7698399,
7691792,chef
7691792,cook
7690182,secretary
7690182,cashier
7690182,sales assistant
7690182,department manager
7688279,Babysitter
7685469,secretary
7685240,babysitter
7672440,secretary
7669882,illustrator
7669882,postman
7669882,receptionist
7669882,chef
7669882,warehouse worker
7662854,bricklayer
7662854,warehouse worker
7660087,accountant
7658067,warehouse worker
7653926,producer
7645862,lawyer
7645862,secretary
7632923,receptionist
7632923,accountant
7632923,sales assistant
7631778,barista
7631778,cashier
7631778,waitress
7631778,accountant
7627521,medium
7622364,bartender
7622364,warehouse worker
7611334,writer
7611334,librarian
7611334,tutor
7607256,spot welder
7607256,welder
7601717,kitchen assistant
7601717,cashier
7601717,receptionist
7601717,goldsmith
7601717,waiter
7595877,barista
7595877,waitress
7595877,babysitter
7595877,receptionist
7595877,shop assistant
7592075,lieutenant
7592075,quality engineering technician
7591589,promoter
7591589,sales assistant
7591589,optician
7591589,receptionist
7591589,secretary
7591589,warehouse worker
7583771,cashier
7583771,accountant
7583771,sales assistant
7581054,
7580579,receptionist
7580579,waitress
7580579,spokesperson
7580573,
7580130,secretary
7580112,cashier
7580105,warehouse worker
7580105,baker
7578994,waitress
7577631,communication manager
7577631,project manager
7577631,business consultant
7577631,kinesiologist
7577631,host
7577253,cook
7576943,administrative assistant
7576943,barista
7576943,warehouse worker
7576943,sales assistant
7576002,warehouse worker
7575799,receptionist
7575799,secretary
7574810,
7574496,
7574191,kitchen assistant
7574191,waitress
7574191,shop assistant
7574042,
7573987,promoter
7573836,electrician
7573836,electrical engineer
7572608,lawyer
7572608,corporate lawyer
7572386,cashier
7572386,social care worker
7572386,web developer
7572343,receptionist
7572343,waitress
7571638,waiter
7570318,notary
7568895,
7567992,illustrator
7567992,waitress
7567992,bartender
7567992,hostess
7567851,babysitter
7567851,cashier
7567851,sales assistant
7567851,secretary
7567849,sales manager
7567849,human resources manager
7567848,sales assistant
7567387,hostess
7567387,sales assistant
7567387,travel agent
7567382,companion
7567382,social worker
7567382,department manager
7567382,secretary
7567382,primary school teacher
7564157,event manager
7564155,cashier
7563806,
7563805,sailor
7563805,waiter
7563077,escort
7561598,
7560905,
7560900,cashier
7560896,receptionist
7560896,waitress
7560896,secretary
7560896,sales assistant
7560889,
7560848,
7559477,secretary
7559474,welder
7558500,accountant
7558424,chef
7558424,baker
7558421,warehouse worker
7557373,cook
7557373,waiter
7555897,
7555884,
7555675,warehouse manager
7555675,warehouse worker
7555675,purchasing manager
7555564,interpreter
7555564,human resources manager
7555564,translator
7555564,cashier
7555564,receptionist
7555424,cashier
7555424,sales assistant
7555373,barista
7555373,waitress
7555373,cashier
7555373,food production operator
7555373,warehouse worker
7554392,
7554047,waitress
7553953,medium
7552215,
7552160,cashier
7552160,visual merchandiser
7552160,merchandiser
7552045,warehouse worker
7552045,waiter
7550983,waitress
7550983,companion
7550864,
7550241,sales assistant
7550241,department manager
7549560,actress
7549269,social worker
7548850,office clerk
7548850,shop assistant
7547948,translator
7547948,doorman
7547927,barista
7547927,waitress
7546994,warehouse worker
7546994,sales assistant
7546939,
7546519,web developer
7546519,web designer
7546376,promoter
7546376,secretary
7546376,hostess
7546376,event manager
7545962,
7545686,sales assistant
7545531,warehouse worker
7544436,cashier
7544436,host
7544436,interior designer
7544436,sales assistant
7543992,barista
7543978,illustrator
7543978,graphic designer
7543757,secretary
7543757,barista
7543740,barista
7543739,
7543728,warehouse worker
7543728,waiter
7543728,real estate agent
7543724,sales assistant
7543724,model maker
7538484,Plumber
7538484,plumber
7538484,Electrician
7538484,energy manager
7538377,office manager
7538377,service manager
7538377,medium
7538376,bank teller
7538376,warehouse worker
7538352,illustrator
7538352,cook
7538352,carpenter
7538352,waiter
7538343,illustrator
7538343,graphic designer
7538343,dressmaker
7535930,chef
7535930,blacksmith
7534619,warehouse worker
7533123,receptionist
7533123,waitress
7533123,babysitter
7533007,barista
7533007,secretary
7532414,waitress
7532414,cook
7532414,cashier
7532414,chef
7532414,pastry chef
7531756,
7531549,babysitter
7531549,waitress
7531549,library assistant
7530241,fitness instructor
7530241,waiter
7529758,
7529280,barista
7529280,waitress
7527802,file clerk
7527184,secretary
7527184,healthcare assistant
7526865,babysitter
7525808,project manager
7525808,construction manager
7525472,
7525217,babysitter
7524799,medium
7524021,pharmacist
7524021,tutor
7523991,chef
7523796,carpenter
7523796,warehouse worker
7523796,forklift operator
7523740,medium
7523680,
7522683,promoter
7522683,cashier
7522683,bartender
7522683,waiter
7521068,
7521047,waiter
7520552,receptionist
7520288,illustrator
7520288,barista
7520288,secretary
7517515,waitress
7517314,cook
7517314,warehouse worker
7517053,cook
7517053,warehouse worker
7517053,bartender
7517053,waiter
7517001,receptionist
7517001,office clerk
7516840,sales assistant
7515712,typist
7515712,kitchen assistant
7515309,hostess
7515309,fitness instructor
7514862,
7514602,doorman
7514448,spot welder
7514448,welder
7514257,
7513177,sales assistant
7512366,
7511463,Librarian
7511194,barista
7511194,electrician
7511194,fitness instructor
7509273,
7508606,computer scientist
7508259,
7507759,sales assistant
7506006,waitress
7506006,cook
7505525,babysitter
7505525,ambassador
7504780,bricklayer
7504772,
7504751,
7504579,shelf filler
7503881,
7503611,
7503529,warehouse worker
7503529,forklift operator
7502605,waiter
7502135,chef
7502126,receptionist
7502126,barista
7501956,biologist
7501956,Biologist
7501885,
7501114,
7499647,
7498864,translator
7498864,sales assistant
7498567,cashier
7498567,sales assistant
7498557,barista
7498557,bartender
7498557,waiter
7498307,receptionist
7498307,waitress
7498307,barista
7497683,
7496246,
7492974,warehouse manager
7492510,bartender
7492510,plumber
7492510,waiter
7492510,welder
7492020,waiter
7491504,interpreter
7489634,secretary
7489634,babysitter
7488450,dresser
7488450,secretary
7488450,sales assistant
7487551,
7487294,
7486974,secretary
7485426,
7484890,
7484298,waiter
7484169,
7483662,barista
7483662,sales assistant
7483662,cashier
7483662,receptionist
7483662,chef
7483662,secretary
7482974,
7482668,social worker
7482668,au pair
7482668,host
7482252,
7481086,forklift operator
7480541,babysitter
7480541,cook
7480541,sales assistant
7480064,vineyard worker
7480064,animator
7479502,cook
7479477,waiter
7479416,restaurant manager
7479416,waiter
7479274,
7479074,accountant
7478975,
7478494,pastry chef
7478494,chef
7478494,waitress
7478306,tutor
7477864,sales manager
7477864,sales assistant
7477864,business manager
7477663,
7476902,butcher
7476607,cashier
7476331,
7476204,promoter
7476204,waitress
7476204,sales assistant
7476204,babysitter
7476204,cashier
7475259,
7475219,
7475136,
7474714,promoter
7474714,office manager
7474714,waiter
7473701,companion
7473410,bricklayer
7473410,sales assistant
7473410,optometrist
7473410,optician
7473410,electrician
7472212,cashier
7472212,hairdresser
7471875,sales account manager
7471670,sales assistant
7471635,receptionist
7471471,
7471291,
7470348,sales assistant
7469718,
7469372,sales assistant
7467301,model maker
7466828,barista
7466828,cashier
7466828,shop assistant
7466828,sales assistant
7465887,
7465821,plumber
7465115,club hostess
7465115,waitress
7465115,club host
7465115,babysitter
7465115,hostess
7465115,hotel concierge
7465115,host
7465115,restaurant hostess
7465115,secretary
7465115,travel agent
7464459,groom
7464459,tutor
7463373,promoter
7463373,cashier
7463373,hostess
7462315,pastry chef
7462315,chef
7460688,
7459909,receptionist
7459909,waitress
7459909,secretary
7458434,cook
7458434,warehouse worker
7458340,sales assistant
7458056,secretary
7458031,chef
7457342,hostess
7456557,tourist guide
7456557,warehouse manager
7456557,telecommunications technician
7456192,graphic designer
7456101,
7454771,
7453986,welder
7453128,
7451663,security guard
7451663,sales assistant
7451663,doorman
7451248,promoter
7451248,sales assistant
7451248,producer
7450382,illustrator
7450382,waiter
7450194,
7450186,sales manager
7450012,translator
7450012,hostess
7450012,writer
7450012,secretary
7450012,chief executive officer
7448948,accountant
7448709,warehouse worker
7448197,cashier
7448197,warehouse worker
7448197,sales assistant
7446464,spot welder
7446464,warehouse worker
7446464,welder
7445679,waiter
7445653,illustrator
7445219,barista
7445219,sales assistant
7445074,
7443893,barista
7443893,cook
7443893,service manager
7443893,extra
7443893,bartender
7443893,waiter
7443811,stagehand
7443811,electrician
7443250,energy consultant
7443250,waitress
7443250,sales assistant
7443250,tutor
7442026,
7439888,photographer
7439102,barista
7439102,waiter
7438932,singer
7438721,lithographer
7438721,warehouse manager
7438081,head chef
7438081,chef
7437776,
7437687,
7436926,cashier
7436926,real estate agent
7436926,sales assistant
7436926,steward
7436799,secretary
7436799,shop assistant
7436408,Sales assistant
7436224,
7436200,
7435808,babysitter
7435808,waitress
7435808,cook
7435296,
7434905,
7434089,barista
7434089,cashier
7434089,electrician
7433764,Electrician
7433764,cashier
7433764,bartender
7433764,carpenter
7433764,waiter
7433647,social worker
7433035,sewing machine operator
7432575,promoter
7432575,sales assistant
7432388,Warehouse worker
7432388,Sales assistant
7432283,sales assistant
7431926,barista
7431926,waitress
7431926,hairdresser
7431926,chef
7431926,pastry chef
7431920,bricklayer
7431730,warehouse worker
7431730,electrician
7431730,forklift operator
7431248,Waiter
7430937,hairdresser
7430749,secretary
7430749,accountant
7428904,art director
7428904,sales assistant
7428904,producer
7428904,artistic director
7428904,creative director
7427532,waitress
7427532,sales assistant
7427532,babysitter
7427532,receptionist
7427532,secretary
7427349,
7427092,
7426693,babysitter
7426693,waitress
7426693,social worker
7426693,extra
7426162,composer
7426162,lawyer
7426162,interior designer
7426162,web developer
7426162,secretary
7425469,animator
7425469,architect
7425162,warehouse worker
7423990,
7422628,
7422185,
7421776,
7421383,journalist
7421310,electrician
7420897,warehouse manager
7420818,mediator
7420818,interpreter
7420755,medium
7420589,
7420420,sales assistant
7420272,secretary
7420272,cashier
7420272,sales assistant
7419993,secretary
7419993,department manager
7419983,promoter
7419983,dresser
7419983,shop assistant
7419983,hostess
7418868,cashier
7418470,shop assistant
7418470,sewing machine operator
7418470,sales assistant
7414905,
7414877,cashier
7414877,nanny
7414877,tutor
7414877,chef
7414877,pastry chef
7414638,
7414032,receptionist
7414032,management assistant
7414032,accountant
7414032,sales assistant
7413888,au pair
7413888,accountant
7413665,
7413538,chef
7412982,medium
7412823,
7412405,
7411960,typist
7411960,pharmacist
7411588,waitress
7411588,sales assistant
7411588,cashier
7411588,babysitter
7411588,department manager
7411588,secretary
7411551,
7411307,illustrator
7411307,babysitter
7411307,accountant
7410718,
7410636,interpreter
7410304,sound designer
7410304,department manager
7410304,web designer
7410304,warehouse manager
7410304,warehouse worker
7410269,flight attendant
7410230,babysitter
7410103,department manager
7409840,warehouse worker
7409176,
7408949,
7408751,fitness instructor
7408127,
7407956,shop assistant
7407833,typist
7407833,secretary
7407833,sales assistant
7407833,department manager
7407802,electrician
7407802,cook
7407802,sales manager
7407387,barista
7406990,
7405707,
7404898,promoter
7404898,secretary
7404898,accountant
7404898,business analyst
7404898,waiter
7404580,kitchen assistant
7404580,butcher
7404100,barista
7404100,babysitter
7399922,
7399479,cook
7399479,Bricklayer
7398855,extra
7397921,translator
7397921,receptionist
7397921,mayor
7397921,interpreter
7397325,technical director
7397325,chief information officer
7397325,project manager
7397325,service manager
7397325,electrical engineer
7397325,branch manager
7397059,
7397054,tailor
7396456,
7396345,barista
7396345,waitress
7396345,Barista
7396345,cashier
7395486,translator
7395486,tourist guide
7395486,tutor
7394881,kitchen assistant
7394881,waitress
7394881,hairdresser
7394085,illustrator
7394085,sales assistant
7393876,
7393317,secretary
7393301,carpenter
7392949,
7392572,
7392211,biologist
7391969,
7391740,interior designer
7391740,sales assistant
7391481,bartender
7391090,waitress
7391090,sales assistant
7390969,illustrator
7390521,
7390255,Waiter
7390128,secretary
7390128,barista
7390128,kitchen assistant
7390128,sales assistant
7390088,receptionist
7389532,
7388113,accountant
7388042,secretary
7387782,receptionist
7387782,waitress
7387782,cashier
7387543,warehouse worker
7387543,welder
7387543,cashier
7387543,department manager
7387543,carpenter
7386710,
7385193,Warehouse worker
7385193,warehouse worker
7384800,barista
7384800,sales assistant
